# Rich per-station tariff/technical research table -- superset of plant_ecr.csv.
# Harvested from FY2022-23 SERC/CERC tariff orders, true-up orders, metered fuel
# bills and SLDC merit-order stacks. Schema + rules: docs/plant_tariff_schema.md.
#
# RULES (non-negotiable): every numeric value REAL and traceable to a published
# document; NEVER fabricate or interpolate -- leave blank if a source omits it.
# ecr_rs_per_kwh / energy-charge vintage MUST be FY2022-23. Other technical fields
# may carry a nearby-vintage norm -- note it in basis/flag. One logical row per
# station x source. Sparse by design (blank = not stated in that source).
# Read with comment='#'; treat blanks as NaN.
match_name,unit_group,genco,state,period,basis,ecr_rs_per_kwh,fixed_charge_rs_per_kwh,capacity_charge_rs_cr,station_heat_rate_kcal_per_kwh,aux_consumption_pct,specific_coal_consumption_kg_per_kwh,secondary_oil_ml_per_kwh,transit_loss_pct,gcv_coal_kcal_per_kg,landed_coal_cost_rs_per_tonne,coal_grade,gcv_oil_kcal_per_litre,landed_oil_cost_rs_per_kl,generation_mu,plf_pct,capacity_mw,source,source_file,flag
Mejia Tps Ext,MTPS U#7&8,DVC,West Bengal,FY2022-23,approved_order,3.577,,1044.64,,,,,,3696,4263,,,,,,1000,"JSERC Order 30-09-2024 (DVC True-up FY2022-23 etc., petition dtd 12-12-2023), Table 38 p.96: MTPS U#7&8 approved ECR 3.577 Rs/kWh. AFC=Table 6 p.26 (1044.64 Rs.Cr). GCV 3695.52 / landed 4262.93 Rs/MT = Table 11 Q1-FY22-23 p.31 (MTPS 7-8).",dvc_jserc_2024a.pdf,landed_cost & gcv_coal are Q1-FY22-23 snapshot not annual
Durgapur,DTPS U#4,DVC,West Bengal,FY2022-23,approved_order,3.434,,144.68,,,,,,3111,2879,,,,,,210,"JSERC Order 30-09-2024 (DVC True-up FY2022-23 etc., petition dtd 12-12-2023), Table 38 p.96: DTPS U#4 approved ECR 3.434 Rs/kWh. AFC=Table 6 p.26 (144.68 Rs.Cr). GCV 3110.68 / landed 2879.08 Rs/MT = Table 11 Q1-FY22-23 p.31 (DTPS).",dvc_jserc_2024a.pdf,"Durgapur TPS = DTPS U#4 (210 MW, only DVC-priced unit); landed_cost & gcv_coal Q1-FY22-23 snapshot"
Durgapur Steel Tps,DSTPS U#1&2,DVC,West Bengal,FY2022-23,approved_order,3.793,,1070.47,,,,,,3494,4089,,,,,,1000,"JSERC Order 30-09-2024 (DVC True-up FY2022-23 etc., petition dtd 12-12-2023), Table 38 p.96: DSTPS U#1&2 approved ECR 3.793 Rs/kWh. AFC=Table 6 p.26 (1070.47 Rs.Cr). GCV 3493.63 / landed 4088.93 Rs/MT = Table 11 Q1-FY22-23 p.31 (DSTPS).",dvc_jserc_2024a.pdf,landed_cost & gcv_coal are Q1-FY22-23 snapshot not annual
Koderma,KTPS U#1&2,DVC,Jharkhand,FY2022-23,approved_order,3.540,,1150.04,,,,,,3639,3829,,,,,,1000,"JSERC Order 30-09-2024 (DVC True-up FY2022-23 etc., petition dtd 12-12-2023), Table 38 p.96: KTPS U#1&2 approved ECR 3.540 Rs/kWh. AFC=Table 6 p.26 (1150.04 Rs.Cr). GCV 3639.48 / landed 3829.36 Rs/MT = Table 11 Q1-FY22-23 p.31 (KTPS).",dvc_jserc_2024a.pdf,landed_cost & gcv_coal are Q1-FY22-23 snapshot not annual
Raghunathpur TPP Ph-I,RTPS U#1&2,DVC,West Bengal,FY2022-23,approved_order,3.881,,1371.83,,,,,,3672,4563,,,,,,1200,"JSERC Order 30-09-2024 (DVC True-up FY2022-23 etc., petition dtd 12-12-2023), Table 38 p.96: RTPS U#1&2 approved ECR 3.881 Rs/kWh. AFC=Table 6 p.26 (1371.83 Rs.Cr). GCV 3672.47 / landed 4562.86 Rs/MT = Table 11 Q1-FY22-23 p.31 (RTPS).",dvc_jserc_2024a.pdf,landed_cost & gcv_coal are Q1-FY22-23 snapshot not annual
Chandrapura,CTPS U#7&8,DVC,Jharkhand,FY2022-23,approved_order,3.624,,579.65,,,,,,3691,3916,,,,,,500,"JSERC Order 30-09-2024 (DVC True-up FY2022-23 etc., petition dtd 12-12-2023), Table 38 p.96: CTPS U#7,8 approved ECR 3.624 Rs/kWh. AFC=Table 6 p.26 (579.65 Rs.Cr). GCV 3690.75 / landed 3915.96 Rs/MT = Table 11 Q1-FY22-23 p.31 (CTPS 7-8).",dvc_jserc_2024a.pdf,DVC Chandrapura (Jharkhand) U#7&8 -- NOT Maharashtra Chandrapur; landed_cost & gcv_coal Q1-FY22-23 snapshot
Bokaro A ''Exp'',BTPS 'A',DVC,Jharkhand,FY2022-23,approved_order,2.771,,735.04,,,,,,4353,3756,,,,,,500,"JSERC Order 30-09-2024 (DVC True-up FY2022-23 etc., petition dtd 12-12-2023), Table 38 p.96: BTPS 'A' approved ECR 2.771 Rs/kWh. AFC=Table 6 p.26 (735.04 Rs.Cr). GCV 4353.24 / landed 3755.60 Rs/MT = Table 11 Q1-FY22-23 p.31 (BTPS A, the only DVC pit-head station).",dvc_jserc_2024a.pdf,"Bokaro 'A' = BTPS A (pit-head, lowest ECR); landed_cost & gcv_coal Q1-FY22-23 snapshot"
# === Chhattisgarh CSPGCL -- CSERC Petn 10/2024(T) dtd 01-06-2024, Final True-Up FY2022-23 (actual coal+oil / actual net gen). Korba-West & Korba-West-Ext kept separate here; merged in plant_ecr.csv ===
Korba-West,U1-4 (4x210 MW HTPS),CSPGCL,Chhattisgarh,FY2022-23,trueup_order,1.589,,477.12,2890.50,9.54,,0.83,0.19,3883.42,1847.68,,10000,80044.49,5222.23,71.0,840,"CSERC Tariff Order FY 2024-25 (P. No. 10/2024(T)), passed 01/06/2024, Final True-Up for FY 2022-23 for CSPGCL (Section 4). HTPS = Hasdeo TPS Korba West, 4x210 MW. Coal CV/price Table 4-15 p.85; SHR Table 4-9 p.82; aux Table 4-5 p.80; SFOC Table 4-10/4-11 p.83; transit Table 4-13 p.83; net gen Table 4-7 p.81; fuel cost Table 4-16/4-17 p.86; capacity charge (Fixed Cost allowed normative) Table 4-37 p.110.",cspgcl_cserc_tariff_order_fy2024-25.pdf,"ECR = actual total energy charge (coal+secondary oil) / actual net gen = (791.61+38.45 Cr x10)/5222.23 MU = 830.06/5222.23 = Rs1.589/kWh. Coal-only = 791.61x10/5222.23 = Rs1.516; Commission's stated Normative ECR(Coal) Table 4-37 = Rs1.39. PLF computed on net gen (gross-basis PLF=78.5%; actual PAF 78.77%). Pithead SECL coal, low ECR as expected."
Korba-V(Dspm Tps),U7-8 (2x250 MW DSPM),CSPGCL,Chhattisgarh,FY2022-23,trueup_order,1.612,,452.46,2462.83,7.96,,0.32,0.19,3461.67,2047.84,,10000,90209.79,3357.71,76.7,500,"CSERC Tariff Order FY 2024-25 (P. No. 10/2024(T)), passed 01/06/2024, Final True-Up for FY 2022-23 for CSPGCL (Section 4). DSPM = Dr. Shyama Prasad Mukherjee TPS Korba, 2x250 MW. Coal CV/price Table 4-15 p.85; SHR Table 4-9 p.82; aux Table 4-5 p.80; SFOC Table 4-11 p.83; transit Table 4-13 p.83; net gen Table 4-7 p.81; fuel cost Table 4-16/4-17 p.86; capacity charge Table 4-37 p.110.",cspgcl_cserc_tariff_order_fy2024-25.pdf,ECR = (530.82+10.60 Cr x10)/3357.71 MU = 541.42/3357.71 = Rs1.612/kWh. Coal-only = 530.82x10/3357.71 = Rs1.581; Commission Normative ECR(Coal) Table 4-37 = Rs1.58. PLF on net gen (gross-basis 83.3%; actual PAF 84.96%).
Korba-West Ext,U5 (1x500 MW KWTPP),CSPGCL,Chhattisgarh,FY2022-23,trueup_order,1.395,,563.87,2724.96,5.07,,0.29,0.19,3883.42,1847.68,,10000,98500.72,3714.80,84.8,500,"CSERC Tariff Order FY 2024-25 (P. No. 10/2024(T)), passed 01/06/2024, Final True-Up for FY 2022-23 for CSPGCL (Section 4). KWTPP = 1x500 MW Korba West TPP (Korba West Extension); shares common coal yard/transport with HTPS (same SECL coal price). Coal CV/price Table 4-15 p.85; SHR Table 4-9 p.82; aux Table 4-5 p.80; SFOC Table 4-11 p.83; transit Table 4-13 p.83; net gen Table 4-7 p.81; fuel cost Table 4-16/4-17 p.86; capacity charge Table 4-37 p.110.",cspgcl_cserc_tariff_order_fy2024-25.pdf,"VERIFIED: Korba-West Ext = KWTPP (500 MW Korba West TPP), NOT Marwa. ECR = (506.81+11.28 Cr x10)/3714.80 MU = 518.09/3714.80 = Rs1.395/kWh. Coal-only = 506.81x10/3714.80 = Rs1.364; Commission Normative ECR(Coal) Table 4-37 = Rs1.20. PLF on net gen (gross-basis 89.3%; actual PAF 88.90%). Cheapest CSPGCL station - newest, best heat-rate, pithead SECL coal."
Marwa TPP,U1-2 (2x500 MW ABVTPS),CSPGCL,Chhattisgarh,FY2022-23,trueup_order,1.837,,1385.80,2706.51,6.20,,0.50,1.05,3492.54,2179.32,,10000,75025.40,4104.33,46.9,1000,"CSERC Tariff Order FY 2024-25 (P. No. 10/2024(T)), passed 01/06/2024, Final True-Up for FY 2022-23 for CSPGCL (Section 4). ABVTPS = Atal Bihari Vajpayee TPS (Marwa), 2x500 MW; coal from SECL + integrated GP-III mine. Coal CV/price Table 4-15 p.85; SHR Table 4-9 p.82; aux Table 4-5 p.80; SFOC Table 4-11 p.83; transit Table 4-13 p.83; net gen Table 4-7 p.81; fuel cost Table 4-16/4-17 p.86; capacity charge Table 4-37 p.110.",cspgcl_cserc_tariff_order_fy2024-25.pdf,"BONUS (requested verification): Marwa = ABVTPS, separate from Korba-West Ext. ECR = (737.58+16.46 Cr x10)/4104.33 MU = 754.04/4104.33 = Rs1.837/kWh. Coal-only = 737.58x10/4104.33 = Rs1.797; Commission Normative ECR(Coal) Table 4-37 = Rs1.58 (computed on higher normative net gen 6522.48 MU; actual ECR higher because PAF only 49.57% vs norm 79%). PLF on net gen (gross-basis 49.9%; actual PAF 49.57%). GP-III mine coal -> 1.05% transit loss."
# === West Bengal WBPDCL -- WBERC TP-95/20-21 dtd 26.07.2022, via WBPDCL FY2022-23 MFCA debit-notes in WBSEDCL FY2023-26 Petition Appendix A1 (order PDFs scanned) ===
Kolaghat,KTPS (Kolaghat TPS),WBPDCL,West Bengal,FY2022-23,trueup_actual_with_mfca,3.4445,,,,,,,,,,,,,,,"WBSEDCL 8th Control Period (FY2023-26) Petition Appendix A1, WBPDCL MFCA debit-notes, 'Energy Charge with MFCA' = base 278.41 + MFCA 66.04 = 344.45 p/kWh; base ECR per WBERC order TP-95/20-21 dtd 26.07.2022 (memo 29.09.2022)",wbpdcl_wbsedcl_appendixA1.pdf,ACTUAL fuel-inclusive (col C = base+MFCA). 2026-06-02 audit: switched from base-only 278.41 p/kWh to actual with-MFCA. MFCA = Apr-Sep FY22-23 avg. Fresh-tesseract-OCR verified p.1. paise->Rs /100.
Bakreswar,BKTPS (Bakreswar TPS),WBPDCL,West Bengal,FY2022-23,trueup_actual_with_mfca,2.2840,,,,,,,,,,,,,,,"WBSEDCL 8th Control Period (FY2023-26) Petition Appendix A1, WBPDCL MFCA debit-notes, 'Energy Charge with MFCA' = base 182.90 + MFCA 45.50 = 228.40 p/kWh; base ECR per WBERC order TP-95/20-21 dtd 26.07.2022 (memo 29.09.2022)",wbpdcl_wbsedcl_appendixA1.pdf,ACTUAL fuel-inclusive (col C = base+MFCA). 2026-06-02 audit: switched from base-only 182.90 p/kWh to actual with-MFCA. MFCA = Apr-Sep FY22-23 avg. Fresh-tesseract-OCR verified. paise->Rs /100.
Santaldih,STPS Stage-II (Santaldih TPS),WBPDCL,West Bengal,FY2022-23,trueup_actual_with_mfca,2.4414,,,,,,,,,,,,,,,"WBSEDCL 8th Control Period (FY2023-26) Petition Appendix A1, WBPDCL MFCA debit-notes, 'Energy Charge with MFCA' = base 194.97 + MFCA 49.17 = 244.14 p/kWh; base ECR per WBERC order TP-95/20-21 dtd 26.07.2022 (memo 29.09.2022)",wbpdcl_wbsedcl_appendixA1.pdf,ACTUAL fuel-inclusive (col C = base+MFCA). 2026-06-02 audit: switched from base-only 194.97 p/kWh to actual with-MFCA. MFCA = Apr-Sep FY22-23 avg. Fresh-tesseract-OCR verified. paise->Rs /100.
Bandel,BTPS Unit-V (Bandel TPS),WBPDCL,West Bengal,FY2022-23,trueup_actual_with_mfca,2.6687,,,,,,,,,,,,,,,"WBSEDCL 8th Control Period (FY2023-26) Petition Appendix A1, WBPDCL MFCA debit-notes, 'Energy Charge with MFCA' = base 217.09 + MFCA 49.78 = 266.87 p/kWh; base ECR per WBERC order TP-95/20-21 dtd 26.07.2022 (memo 29.09.2022)",wbpdcl_wbsedcl_appendixA1.pdf,ACTUAL fuel-inclusive (col C = base+MFCA). 2026-06-02 audit: switched from base-only 217.09 p/kWh to actual with-MFCA. MFCA = Apr-Sep FY22-23 avg. Fresh-tesseract-OCR verified p.24. paise->Rs /100.
Bandel,BTPS Unit-I (Bandel TPS),WBPDCL,West Bengal,FY2022-23,trueup_actual_with_mfca,3.3293,,,,,,,,,,,,,,,"WBSEDCL 8th Control Period (FY2023-26) Petition Appendix A1, WBPDCL MFCA debit-notes, 'Energy Charge with MFCA' = base 271.80 + MFCA 61.13 = 332.93 p/kWh; base ECR per WBERC order TP-95/20-21 dtd 26.07.2022 (memo 29.09.2022)",wbpdcl_wbsedcl_appendixA1.pdf,ACTUAL fuel-inclusive (col C = base+MFCA). 2026-06-02 audit: switched from base-only 271.80 p/kWh to actual with-MFCA. MFCA = Apr-Sep FY22-23 avg. Fresh-tesseract-OCR verified. paise->Rs /100.
Sagardighi TPP,SgTPS Stage-I (Sagardighi TPS),WBPDCL,West Bengal,FY2022-23,trueup_actual_with_mfca,2.0306,,,,,,,,,,,,,,,"WBSEDCL 8th Control Period (FY2023-26) Petition Appendix A1, WBPDCL MFCA debit-notes, 'Energy Charge with MFCA' = base 179.11 + MFCA 23.95 = 203.06 p/kWh; base ECR per WBERC order TP-95/20-21 dtd 26.07.2022 (memo 29.09.2022)",wbpdcl_wbsedcl_appendixA1.pdf,ACTUAL fuel-inclusive (col C = base+MFCA). 2026-06-02 audit: switched from base-only 179.11 p/kWh to actual with-MFCA. MFCA = Apr-Sep FY22-23 avg. Fresh-tesseract-OCR verified. paise->Rs /100.
Sagardighi TPP,SgTPS Stage-II (Sagardighi TPS),WBPDCL,West Bengal,FY2022-23,trueup_actual_with_mfca,2.0314,,,,,,,,,,,,,,,"WBSEDCL 8th Control Period (FY2023-26) Petition Appendix A1, WBPDCL MFCA debit-notes, 'Energy Charge with MFCA' = base 173.92 + MFCA 29.22 = 203.14 p/kWh; base ECR per WBERC order TP-95/20-21 dtd 26.07.2022 (memo 29.09.2022)",wbpdcl_wbsedcl_appendixA1.pdf,ACTUAL fuel-inclusive (col C = base+MFCA). 2026-06-02 audit: switched from base-only 173.92 p/kWh to actual with-MFCA. MFCA = Apr-Sep FY22-23 avg. Fresh-tesseract-OCR verified. paise->Rs /100.
# === Uttar Pradesh UPRVUNL -- UPERC State Discoms Order dtd 25-05-2023, Table 5-16 p.349 (FILED APR FY2022-23 estimate, NOT a standalone approved gen order) ===
Anpara,Anpara A+B+D (3x210 + 2x500 + 2x500),UPRVUNL,Uttar Pradesh,FY2022-23,filed_petition,1.941,,,,,,,,,,,,,17054,,2630,"UPERC ""Approval of ARR and Tariff for State Discoms for FY 2023-24, APR of FY 2022-23 and True-up of FY 2021-22"" (dated 25-05-2023), Table 5-16 ""POWER PURCHASE COST FOR FY 2022-23"", p.349 of 765; col ""Annual Energy/Variable Charge (Rs/kWh)"". Gen-wtd over Anpara-A (3724.75 MU @ 2.06), Anpara-B (6916.20 MU @ 1.98), Anpara-D (6412.60 MU @ 1.83) = (3724.75*2.06+6916.20*1.98+6412.60*1.83)/17053.55 = 1.941. Variable Rs/kWh verified = AnnualVariable(Rs Cr)*1e7 / MU*1e6 for each.",uperc_statediscoms_fy2023-24.pdf,"APR FY2022-23 estimate (order states ""estimated based on audited data available...till September 2022""); energy/variable charge only, fixed charge excluded. Anpara-D (2x500) included to match dataset's 2630 MW / 7-unit composition."
Obra-A,Obra-B thermal (5x200 MW Units 9-13),UPRVUNL,Uttar Pradesh,FY2022-23,filed_petition,2.58,,,,,,,,,,,,,4181.24,,1000,"UPERC ""Approval of ARR and Tariff for State Discoms for FY 2023-24, APR of FY 2022-23 and True-up of FY 2021-22"" (dated 25-05-2023), Table 5-16 ""POWER PURCHASE COST FOR FY 2022-23"", p.349 of 765; OBRA-B row: 4181.24 MU, Annual Variable Charge 1077.62 Rs Cr => 2.58 Rs/kWh (verified 1077.62*1e7/4181.24e6 = 2.577).",uperc_statediscoms_fy2023-24.pdf,"NAMING: dataset 'Obra-A' = the operational 5x200 MW thermal (Units 9-13, age 42-47), which the order labels OBRA-B. The order's OBRA-A (the retired 2x50 MW + old units) had ZERO FY2022-23 generation. APR FY2022-23 estimate; energy/variable charge only."
Paricha,Parichha Ext (2x210) + Ext Stage-II (2x250),UPRVUNL,Uttar Pradesh,FY2022-23,filed_petition,3.657,,,,,,,,,,,,,4896.87,,920,"UPERC ""Approval of ARR and Tariff for State Discoms for FY 2023-24, APR of FY 2022-23 and True-up of FY 2021-22"" (dated 25-05-2023), Table 5-16 ""POWER PURCHASE COST FOR FY 2022-23"", p.349 of 765. Gen-wtd over PARICHHA EXT. (2577.43 MU @ 3.69) + PARICHHA EXT. STAGE-II (2319.44 MU @ 3.62) = (2577.43*3.69+2319.44*3.62)/4896.87 = 3.657. (Order's PARICHHA = old 2x110 had ZERO FY2022-23 gen.) Variable Rs/kWh verified vs Rs Cr / MU.",uperc_statediscoms_fy2023-24.pdf,APR FY2022-23 estimate; energy/variable charge only. Dataset 'Paricha' 4 units (2x210 + 2x250) = Parichha Extension + Parichha Ext Stage-II.
H_Ganj B,Harduaganj Extension (2x250 MW Units 8-9),UPRVUNL,Uttar Pradesh,FY2022-23,filed_petition,3.94,,,,,,,,,,,,,1787.02,,500,"UPERC ""Approval of ARR and Tariff for State Discoms for FY 2023-24, APR of FY 2022-23 and True-up of FY 2021-22"" (dated 25-05-2023), Table 5-16 ""POWER PURCHASE COST FOR FY 2022-23"", p.349 of 765; HARDUAGANJ EXT. row: 1787.02 MU, Annual Variable Charge 703.96 Rs Cr => 3.94 Rs/kWh (verified 703.96*1e7/1787.02e6 = 3.939).",uperc_statediscoms_fy2023-24.pdf,"NAMING: dataset 'H_Ganj B' = Harduaganj Extension 2x250 MW (commissioned 2011-12, age 12-13) = order's HARDUAGANJ EXT. The order's HARDUAGANJ (167 MU @ 4.49) is the old dying units; HARDUAGANJ EXT. Stage-II is the new 660 MW supercritical (excluded). APR FY2022-23 estimate; energy/variable charge only."
# === Andhra Pradesh APGENCO -- APERC FPPCA Common Order O.P.57-68/2024, Sec(ii) actual variable cost FY2022-23 (true-up) ===
Rayal Seema,RTPP Stage I+II+III+IV (5x210 + 1x600),APGENCO,Andhra Pradesh,FY2022-23,trueup_order,4.33,,1456.09,,,,2.0,0.8,,,G14(coal),,,8467,,1650,"APERC FPPCA FY2022-23 Common Order in O.P.Nos.57 to 68 of 2024 (DISCOM FPPCA true-up), Sec (ii) 'Variable Costs for FY 2022-23', table p.51-52: RTPP Stage-I Actual VC 4.43 Rs/kWh (Rs838.58 Cr), Stage-II 4.44 (Rs1102.52 Cr), Stage-III 4.44 (Rs540.97 Cr), Stage-IV 4.11 (Rs1180.46 Cr); per-station rate derived from APERC AP-Genco FCA Order O.P.No.60 of 2023 dt.27.03.2024. ECR = gen-weighted by implied dispatch energy MU=VC_Cr*10/rate: (1893*4.43+2483*4.44+1218*4.44+2872*4.11)/8467 = 4.326. Fixed cost FY2022-23 RTPP Approved FC = 269.13+263.89+170.54+752.53 = 1456.09 Cr (FPPCA table p.47-48; NTTPS rows are a separate station)",apgenco_aperc_FPPCA_FY2022-23.pdf,"REAL FY2022-23 trueup. ECR is gen-weighted Actual variable cost across RTPP Stage I-IV. Approved(base) rates 3.86/3.86/3.86/3.66; Admissible (FCA-capped) rates 4.30/4.30/4.30/4.15 -> gen-wtd admissible 4.25. Sanity OK (1.3-4.5). capacity_charge_rs_cr = RTPP Approved Fixed Cost FY2022-23 = 269.13+263.89+170.54+752.53 = 1456.09 Cr (table p.47-48); secondary_oil 2 ml/kWh & transit_loss 0.8% are the FY2019-24 4th-CP norms (Gencoorder 29.04.2019 p.55-56). PLF blank (order gives Availability% not PLF: RTPP-I 60.88, II 82.62, III 80.88, IV 60.80). Mapped to CSE 'Rayal Seema' (6 units 1650MW, gen 8461 GWh ~= FPPCA 8467 MU)."
Vijaywada (Dr. N.TATA Rao Tps),Dr.NTTPS Stage I+II+III (6x210),APGENCO,Andhra Pradesh,FY2022-23,trueup_order,3.99,,713.70,2581,,,2.0,0.8,,,G15(coal),,,6898,,1260,"APERC FPPCA FY2022-23 Common Order in O.P.Nos.57 to 68 of 2024 (DISCOM FPPCA true-up), Sec (ii) 'Variable Costs for FY 2022-23', table p.51-52: Dr.NTTPS-I/II/III Actual VC 3.99 Rs/kWh each (Rs917.46 Cr each); per-station rate per APERC AP-Genco FCA Order O.P.No.60 of 2023 dt.27.03.2024. ECR = 3.99 (uniform across I/II/III). Actual SHR 2581 kcal/kWh during FY2022-23 per APGENCO 5th-CP MYT Order dt.09.09.2024 p.51-52 (MYTOrderofAPGENCOfor5thCP090924).",apgenco_aperc_FPPCA_FY2022-23.pdf,"REAL FY2022-23 trueup. ECR = Actual variable cost (3.99) for the 1260 MW (6x210) Dr NTTPS Stage I-III. Approved(base) 3.34; Admissible (FCA-capped) 3.93. Sanity OK. station_heat_rate 2581 kcal/kWh = FY2022-23 actual (5th CP order, APGENCO response to APCPDCL). capacity_charge_rs_cr = NTTPS I+II+III Approved Fixed Cost FY2022-23 = 237.90*3 = 713.70 Cr (FPPCA table p.47). secondary_oil 2 ml/kWh, transit_loss 0.8% are 4th-CP norms. PLF blank (Availability 71.11%). Mapped to CSE 'Vijaywada (Dr. N.TATA Rao Tps)' (6x210=1260MW, gen 6938 GWh ~= FPPCA 6898 MU)."
Vijaywada TPP-Iv,Dr.NTTPS Stage-IV (1x500),APGENCO,Andhra Pradesh,FY2022-23,trueup_order,3.63,,286.67,,,,2.0,0.8,,,coal,,,3231,,500,"APERC FPPCA FY2022-23 Common Order in O.P.Nos.57 to 68 of 2024 (DISCOM FPPCA true-up), Sec (ii) 'Variable Costs for FY 2022-23', table p.51-52: Dr.NTTPS-IV Actual VC 3.63 Rs/kWh (Rs1172.80 Cr); per-station rate per APERC AP-Genco FCA Order O.P.No.60 of 2023 dt.27.03.2024. Implied dispatch energy = 1172.80*10/3.63 = 3231 MU.",apgenco_aperc_FPPCA_FY2022-23.pdf,"REAL FY2022-23 trueup. CSE 'Vijaywada TPP-Iv' = Dr.NTTPS Stage-IV (1x500 MW subcritical), NOT the 800 MW Stage-V (supercritical, excluded from this subcritical-only dataset). Confirmed by capacity (500 MW) & gen (CSE 3225 GWh ~= FPPCA 3231 MU). 'TPP-Iv' = Roman numeral IV. ECR = Actual VC 3.63. Approved(base) 3.15; Admissible (FCA-capped) 3.60. Sanity OK. capacity_charge_rs_cr = NTTPS-IV Approved Fixed Cost FY2022-23 = 286.67 Cr (FPPCA table p.47). secondary_oil 2 ml/kWh, transit_loss 0.8% are 4th-CP norms. PLF blank (Availability 82.20%)."
# === NLC (lignite) -- CERC 2019-24 generation-tariff orders, FY2022-23 column ===
Neyveli New TPP,Units 1-2 (2x500 MW NNTPS),NLC,Tamil Nadu,FY2022-23,approved_order,2.115,,,2481.73,6.25,,1.00,,2579.88,2033.92,,9905.21,33971.93,,,1000,"CERC Order in Petition No.219/GT/2019 dated 2.8.2024, Neyveli New Thermal Power Station (1000 MW), para 173 'approved charges' table p.91 -- FY2022-23 column 'Energy charges' row = 2.115 (labelled 'Paise/kWh' in table but is Rs/kWh; cross-checked: CERC Reg 43(2) formula on the order's own norms [GSHR 2481.73, Aux 6.25%, lignite Rs2033.92/MT @2579.88 kcal/kg, oil Rs33971.93/KL @9905.21 kcal/l, SFC 1.0 ml/kWh] = Rs2.1149/kWh; petitioner-claimed ECR was Rs2.228/kWh). Lignite transfer price (pooled, Petn 452/MP/2019) Rs2033.92/ton.",nlc_tsii_219-GT-2019.pdf,lignite
Barsingar Ligniteite,Units 1-2 (2x125 MW Barsingsar TPS),NLC,Rajasthan,FY2022-23,approved_order,0.848,,,2553.72,12.50,,1.00,,2865.67,769.13,,8534.67,58451.50,,,250,"CERC Order in Petition No.386/GT/2020 dated 21.11.2023, Barsingsar Thermal Power Station (250 MW), para 58 approved-norms table p.51-52 -- FY2022-23 column 'Rate of energy charge ex-bus (Paise/kWh)' = 84.760 -> Rs0.8476/kWh (paise->Rs /100); cross-checked: CERC Reg 43(2) formula on order norms [GSHR 2553.72, Aux 12.5%, lignite Rs769.126/MT @2865.67 kcal/kg, oil Rs58451.50/KL @8534.67 kcal/l, SFC 1.0 ml/kWh, limestone 0.056 kg/kWh] = Rs0.8475/kWh. LOW but REAL: captive Barsingsar mine lignite ~Rs769/t (Petn 173/MP/2020); consistent with data.gov.in BTPS Rs1.077 (2021-23). Royalty 6%/DMF 30%/NMET 2%/GST 18% per order para 57.",nlc_barsingsar_386-GT-2020.pdf,lignite
# === CROSS-CHECK ONLY (EXCLUDED from headline) -- Telangana TSGENCO, TSERC MYT Order 22.03.2022 Table 75. Base ECR held FLAT FY2019-20..FY2023-24 (Sec 6.14.9) => NOT FY2022-23 vintage ===
Bhadradri TPP,BTPS (4x270),TSGENCO,Telangana,FY2022-23,approved_order,2.363,2.628,1933.86,2273,8.50,0.77,0.5,0.80,2958.38,2790,,9819,40000,,,1080,"TSERC TSGenco MYT Order dated 22.03.2022 (True-up 3rd CP + MYT 4th CP FY2019-20 to FY2023-24), O.P. for TSGenco; ECR = approved Base ECR Table 75 'Summary of ECR approved for 4th control period' p.136 (BTPS Approved row: AUX 8.50%, GHR 2273, SFC 0.5 ml/kWh, CVSF 9819, LPSF 0.04 Rs/ml, CVPF 2958.38, LPPF 2.79 Rs/kg, coal 0.77 kg/kWh, ECR 2.363 Rs/kWh). Per Sec 6.14.9 Base ECR is constant across FY2019-20..FY2023-24; per Sec 6.16.1 generation tariffs apply FY2022-23 w.e.f. 01.04.2022. Fixed Cost/kWh from Table 72 p.134 (FY2022-23 col=2.628); AFC FY2022-23 from Table 71 p.133 (Approved=1933.86 Rs cr); capacity 1080 MW Table 1 p.4.",tsgenco_myt_order_22032022.pdf,"landed_oil_cost LPSF=0.04 Rs/ml -> 40000 Rs/kl; landed_coal LPPF=2.79 Rs/kg -> 2790 Rs/t; gcv_oil CVSF=9819 kcal/l. ECR within coal sanity band. PLF/generation_mu not stated per-station in this availability-based MYT order (left blank). Base ECR is FY2019-20 weighted-avg fuel-price basis, held flat across 4th CP incl FY2022-23 with monthly GCV/price true-up under Reg.21.10."
